               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11858,            0.032512,                   0,           0.0033333,             0.26087,           0.0078028,           0.0026501,            0.062701,            0.031132,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.093184,            0.033702,                   0,           0.0033333,             0.47826,            0.013737,           0.0042819,            0.043796,            0.031306,                   0,            0.086485,           0.0014851,           0.0014851
                   2,            0.074194,            0.033208,                   0,           0.0033333,             0.56522,            0.034189,            0.014609,            0.033444,            0.030614,                   0,            0.079254,           0.0022545,           0.0022545
                   3,            0.063037,            0.031159,                   0,             0.71414,             0.97791,             0.91743,             0.29274,             0.03345,            0.025896,                   0,            0.072008,           0.0030079,           0.0030079
                   4,            0.059338,            0.029216,                   0,             0.17623,             0.91304,             0.18267,            0.075786,             0.04065,             0.02074,                   0,            0.064746,           0.0037456,           0.0037456
                   5,            0.058053,            0.026694,                   0,             0.26561,             0.56522,              0.2969,              0.1121,            0.038174,            0.018796,                   0,            0.057467,           0.0044673,           0.0044673
                   6,            0.059744,            0.024097,                   0,             0.61353,             0.86957,             0.68369,             0.16663,            0.043277,             0.01735,                   0,            0.050173,           0.0051733,           0.0051733
                   7,            0.053359,            0.022141,                   0,             0.67678,             0.91304,             0.85709,             0.28815,            0.046233,            0.015487,                   0,            0.042863,           0.0058634,           0.0058634
                   8,            0.056082,            0.021266,                   0,             0.40568,             0.95652,              0.4502,             0.21017,            0.037683,             0.01553,                   0,            0.035538,           0.0065377,           0.0065377
                   9,            0.056435,            0.020086,                   0,             0.46467,             0.78261,             0.65675,             0.23821,            0.052577,            0.013756,                   0,            0.028196,           0.0071961,           0.0071961
                  10,            0.052473,            0.020847,                   0,             0.52488,             0.82609,               0.598,             0.12054,            0.043333,            0.012094,                   0,            0.020839,           0.0078387,           0.0078387
                  11,            0.052811,            0.020587,                   0,             0.78265,             0.69565,             0.85633,             0.30474,            0.040079,             0.01146,                   0,            0.013465,           0.0084655,           0.0084655
                  12,            0.056167,            0.017874,                   0,             0.45593,             0.80182,             0.46834,             0.10526,            0.046642,            0.010995,                   0,            0.008812,            0.008812,            0.008812
                  13,            0.050214,            0.017531,                   0,             0.49634,                   1,             0.55201,              0.2423,            0.035977,            0.012375,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.050574,            0.018229,                   0,             0.46392,             0.82781,             0.46785,             0.22201,            0.035431,             0.01104,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.050511,            0.016392,                   0,             0.62165,             0.78592,             0.77979,             0.32654,            0.030535,            0.011102,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.044051,            0.014009,                   0,             0.58937,             0.93635,             0.84069,             0.43553,            0.031245,           0.0097818,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.043336,            0.014683,                   0,             0.80026,             0.95652,             0.94231,             0.46342,            0.027853,           0.0095028,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.04386,            0.013972,                   0,             0.87008,                   1,             0.97678,             0.50919,            0.028686,           0.0085758,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.042379,            0.014008,                   0,             0.76429,             0.98713,             0.90163,             0.36773,            0.031035,           0.0091657,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.042695,            0.014047,                   0,             0.99393,                   1,               0.995,             0.68269,            0.018946,           0.0079285,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.034065,            0.013868,                   0,             0.41539,             0.74149,             0.53978,             0.20101,            0.040384,           0.0095637,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.040721,            0.011647,                   0,             0.87778,             0.95652,             0.97461,             0.59533,            0.025171,           0.0079539,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.036027,            0.011575,                   0,             0.91981,             0.99747,             0.98079,             0.48827,             0.02841,           0.0070378,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.034117,            0.010968,                   0,             0.99238,                   1,               0.995,             0.47804,            0.023473,           0.0069829,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.034379,            0.010346,                   0,             0.99693,                   1,               0.995,             0.46715,            0.024813,           0.0067109,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.036515,            0.012294,                   0,             0.91321,                   1,             0.99006,             0.52269,            0.021783,           0.0067649,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.03418,            0.010028,                   0,             0.99667,                   1,               0.995,             0.48141,            0.019221,           0.0066185,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.034965,            0.012226,                   0,             0.99646,                   1,               0.995,             0.62968,            0.017762,           0.0064276,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.030685,            0.011325,                   0,             0.99717,                   1,               0.995,             0.63491,            0.020194,           0.0064534,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.031203,           0.0099611,                   0,             0.99341,                   1,               0.995,             0.55946,            0.019914,           0.0069949,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.032219,            0.010766,                   0,             0.99692,                   1,               0.995,             0.59426,            0.021344,           0.0061606,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.027429,            0.010453,                   0,             0.99699,                   1,               0.995,             0.70408,            0.016365,           0.0060318,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.029189,            0.010547,                   0,             0.99704,                   1,               0.995,             0.76188,            0.014251,            0.006256,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.028347,            0.010196,                   0,             0.99692,                   1,               0.995,             0.79845,            0.011575,           0.0060452,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.026211,           0.0089766,                   0,             0.99693,                   1,               0.995,               0.811,            0.013127,           0.0059402,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.025704,           0.0085907,                   0,             0.99696,                   1,               0.995,             0.71856,            0.014987,           0.0057841,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.024504,           0.0090616,                   0,             0.99708,                   1,               0.995,             0.66364,            0.018793,           0.0060668,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.025353,           0.0092398,                   0,             0.99724,                   1,               0.995,             0.72713,            0.014468,           0.0057638,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.026455,           0.0094363,                   0,             0.99724,                   1,               0.995,             0.73392,             0.01897,           0.0057099,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.025084,           0.0090123,                   0,             0.99719,                   1,               0.995,              0.7123,            0.013592,            0.005935,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.022626,           0.0088923,                   0,             0.99712,                   1,               0.995,             0.70108,            0.016302,           0.0059536,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.021742,           0.0087051,                   0,              0.9971,                   1,               0.995,             0.77257,            0.012804,           0.0059942,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.024605,           0.0092162,                   0,               0.997,                   1,               0.995,             0.76613,            0.012241,           0.0062038,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.023771,           0.0084609,                   0,             0.99692,                   1,               0.995,             0.80281,            0.012506,           0.0062424,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.02271,           0.0081979,                   0,             0.99695,                   1,               0.995,             0.80143,            0.010656,           0.0060436,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.02613,           0.0087006,                   0,             0.99708,                   1,               0.995,             0.78107,            0.013418,           0.0058661,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.022503,           0.0077183,                   0,             0.99719,                   1,               0.995,             0.79527,            0.012674,           0.0062382,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.020908,           0.0077819,                   0,             0.99718,                   1,               0.995,              0.8154,            0.012298,           0.0060676,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.021133,             0.00773,                   0,             0.99723,                   1,               0.995,             0.81057,            0.012169,           0.0058398,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.020829,           0.0080556,                   0,             0.99727,                   1,               0.995,             0.80646,            0.010285,           0.0059765,                   0,            0.005149,            0.005149,            0.005149
                  51,               0.021,            0.008646,                   0,             0.99733,                   1,               0.995,             0.79955,            0.011112,           0.0061291,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.02313,           0.0077403,                   0,             0.99733,                   1,               0.995,             0.79744,            0.013393,           0.0060779,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.01985,           0.0075386,                   0,             0.99742,                   1,               0.995,             0.80929,            0.012218,           0.0058907,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.018566,           0.0071633,                   0,             0.99732,                   1,               0.995,             0.74714,             0.01341,           0.0057602,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.021405,           0.0076328,                   0,             0.99733,                   1,               0.995,             0.85643,            0.011038,           0.0056332,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.019804,           0.0079111,                   0,             0.99735,                   1,               0.995,             0.83442,            0.011391,              0.0057,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.019009,           0.0068156,                   0,              0.9974,                   1,               0.995,             0.87783,            0.011769,            0.005535,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.021168,           0.0085343,                   0,             0.99736,                   1,               0.995,             0.86756,           0.0094187,           0.0053091,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.019669,           0.0070613,                   0,             0.99747,                   1,               0.995,             0.84557,           0.0091466,           0.0062036,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.018706,           0.0071203,                   0,             0.99743,                   1,               0.995,             0.84913,            0.010769,           0.0058067,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.018195,           0.0076076,                   0,             0.99745,                   1,               0.995,             0.81248,            0.010079,           0.0057203,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.019677,           0.0071116,                   0,              0.9975,                   1,               0.995,             0.82984,            0.010432,           0.0054947,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.019488,           0.0074024,                   0,             0.99749,                   1,               0.995,             0.86302,           0.0099822,           0.0057275,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.018085,           0.0066699,                   0,             0.99754,                   1,               0.995,              0.8343,            0.011349,           0.0056818,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.019735,           0.0073197,                   0,             0.99755,                   1,               0.995,             0.83893,           0.0095846,           0.0054339,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.016636,           0.0070237,                   0,             0.99758,                   1,               0.995,              0.8359,             0.01061,           0.0058352,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.016212,           0.0070734,                   0,             0.99755,                   1,               0.995,             0.84745,           0.0097264,           0.0055547,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.018226,           0.0062551,                   0,             0.99757,                   1,               0.995,              0.8795,           0.0087512,           0.0053803,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.017554,           0.0074753,                   0,             0.99758,                   1,               0.995,             0.88663,           0.0077117,           0.0051328,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.015637,           0.0078914,                   0,             0.99761,                   1,               0.995,             0.86596,           0.0088485,           0.0054545,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.016687,           0.0071842,                   0,             0.99764,                   1,               0.995,             0.88395,           0.0090476,           0.0053655,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.016057,            0.006295,                   0,             0.99757,                   1,               0.995,             0.88541,           0.0079286,           0.0052998,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.014842,           0.0063975,                   0,             0.99756,                   1,               0.995,             0.88512,           0.0082581,           0.0055424,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.014852,           0.0070385,                   0,             0.99756,                   1,               0.995,             0.89085,           0.0082425,           0.0055151,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.014468,           0.0069489,                   0,             0.99754,                   1,               0.995,             0.88716,           0.0081975,           0.0057231,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01494,           0.0052945,                   0,              0.9976,                   1,               0.995,             0.86865,           0.0084868,           0.0060848,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.01494,           0.0066969,                   0,             0.99755,                   1,               0.995,             0.88916,           0.0080081,           0.0054507,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.014277,            0.006958,                   0,             0.99758,                   1,               0.995,             0.86474,           0.0080524,           0.0055886,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.014145,           0.0069143,                   0,             0.99769,                   1,               0.995,             0.89489,            0.007743,           0.0052938,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.015859,           0.0069367,                   0,             0.99774,                   1,               0.995,              0.8872,           0.0075951,            0.005324,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.014461,           0.0065075,                   0,             0.99771,                   1,               0.995,             0.87403,           0.0079218,           0.0053349,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.013508,           0.0052047,                   0,             0.99764,                   1,               0.995,             0.86797,           0.0073681,           0.0051086,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.015257,           0.0064559,                   0,             0.99765,                   1,               0.995,             0.87308,           0.0079533,           0.0048789,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.015933,           0.0061009,                   0,             0.99768,                   1,               0.995,             0.87123,           0.0071837,           0.0047409,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.014841,           0.0063038,                   0,             0.99769,                   1,               0.995,              0.8764,             0.00801,           0.0048458,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.012051,           0.0057996,                   0,             0.99773,                   1,               0.995,             0.88395,           0.0081579,           0.0050541,                   0,            0.001585,            0.001585,            0.001585
